sp500_opt
153.65
149.15
146.95
138.5
137.95
125.9
129.3
125
120.7
111.8
103.25
104
99.95
95.85
89.25
87.9
81.3
80.15
76.35
69.7
66.05
65.4
58.85
58.3
48.95
51.65
48.25
45.15
39.05
36.15
23.95
30.7
25.3
23.3
21.1
16.45
17.05
12.9
11.3
11.95
10.55
9.2
8
4.05
4.55
2
2.975
1.95
0.85
0.675
0.8
0.7
0.325
0.85
0.475
