Date,Close
01/10/2015,32.639999
01/09/2015,32.580002
03/08/2015,33.200001
01/07/2015,34.740002
01/06/2015,35.52
01/05/2015,34.540001
01/04/2015,34.639999
02/03/2015,32.650002
02/02/2015,34.560001
02/01/2015,32.919998
01/12/2014,33.59
03/11/2014,35.380001
01/10/2014,34.84
02/09/2014,35.240002
01/08/2014,34.959999
01/07/2014,35.59
02/06/2014,35.360001
01/05/2014,35.470001
01/04/2014,35.700001
03/03/2014,35.07
03/02/2014,31.93
02/01/2014,33.32
02/12/2013,35.16
01/11/2013,35.209999
01/10/2013,36.200001
03/09/2013,33.82
01/08/2013,33.830002
01/07/2013,35.27
03/06/2013,35.400002
01/05/2013,34.990002
01/04/2013,37.459999
01/03/2013,36.689999
01/02/2013,35.91
02/01/2013,34.790001
03/12/2012,33.709999
01/11/2012,34.130001
01/10/2012,34.59
04/09/2012,37.700001
01/08/2012,36.639999
02/07/2012,37.919998
01/06/2012,35.66
01/05/2012,34.169998
02/04/2012,32.91
01/03/2012,31.23
01/02/2012,30.59
03/01/2012,29.41
01/12/2011,30.24
01/11/2011,28.98
03/10/2011,29.309999
01/09/2011,28.52
01/08/2011,28.48
01/07/2011,29.26
01/06/2011,31.41
02/05/2011,31.559999
01/04/2011,31.120001
01/03/2011,30.610001
01/02/2011,28.379999
03/01/2011,27.52
01/12/2010,29.379999
01/11/2010,27.790001
01/10/2010,28.52
01/09/2010,28.6
02/08/2010,27.030001
01/07/2010,25.940001
01/06/2010,24.190001
03/05/2010,24.299999
01/04/2010,26.059999
01/03/2010,25.84
01/02/2010,24.809999
04/01/2010,25.360001
01/12/2009,28.030001
02/11/2009,26.940001
01/10/2009,25.67
01/09/2009,27.01
03/08/2009,26.049999
01/07/2009,26.23
01/06/2009,24.84
01/05/2009,24.790001
01/04/2009,25.620001
02/03/2009,25.200001
02/02/2009,23.77
02/01/2009,24.620001
01/12/2008,28.5
03/11/2008,28.559999
01/10/2008,26.77
02/09/2008,27.92
01/08/2008,31.99
01/07/2008,30.809999
02/06/2008,33.689999
01/05/2008,39.900002
01/04/2008,38.709999
03/03/2008,38.299999
01/02/2008,34.830002
02/01/2008,38.490002
03/12/2007,41.560001
01/11/2007,38.209999
01/10/2007,41.790001
04/09/2007,42.310001
01/08/2007,39.869999
02/07/2007,39.16
01/06/2007,41.5
01/05/2007,41.34
02/04/2007,38.720001
01/03/2007,39.43
01/02/2007,36.799999
03/01/2007,37.630001
01/12/2006,35.75
01/11/2006,33.91
02/10/2006,34.25
01/09/2006,32.560001
01/08/2006,31.129999
03/07/2006,29.99
01/06/2006,27.889999
01/05/2006,26.059999
03/04/2006,26.209999
01/03/2006,27.040001
01/02/2006,27.59
03/01/2006,25.950001
01/12/2005,24.49
01/11/2005,24.91
05/10/2005,23.85
