Date,Close
01/10/2015,1951.359985
01/09/2015,1920.030029
03/08/2015,1972.180054
01/07/2015,2103.840088
01/06/2015,2063.110107
01/05/2015,2107.389893
01/04/2015,2085.51001
02/03/2015,2067.889893
02/02/2015,2104.5
02/01/2015,1994.98999
01/12/2014,2058.899902
03/11/2014,2067.560059
01/10/2014,2018.050049
02/09/2014,1972.290039
01/08/2014,2003.369995
01/07/2014,1930.670044
02/06/2014,1960.22998
01/05/2014,1923.569946
01/04/2014,1883.949951
03/03/2014,1872.339966
03/02/2014,1859.449951
02/01/2014,1782.589966
02/12/2013,1848.359985
01/11/2013,1805.810059
01/10/2013,1756.540039
03/09/2013,1681.550049
01/08/2013,1632.969971
01/07/2013,1685.72998
03/06/2013,1606.280029
01/05/2013,1630.73999
01/04/2013,1597.569946
01/03/2013,1569.189941
01/02/2013,1514.680054
02/01/2013,1498.109985
03/12/2012,1426.189941
01/11/2012,1416.180054
01/10/2012,1412.160034
04/09/2012,1440.670044
01/08/2012,1406.579956
02/07/2012,1379.319946
01/06/2012,1362.160034
01/05/2012,1310.329956
02/04/2012,1397.910034
01/03/2012,1408.469971
01/02/2012,1365.680054
03/01/2012,1312.410034
01/12/2011,1257.599976
01/11/2011,1246.959961
03/10/2011,1253.300049
01/09/2011,1131.420044
01/08/2011,1218.890015
01/07/2011,1292.280029
01/06/2011,1320.640015
02/05/2011,1345.199951
01/04/2011,1363.609985
01/03/2011,1325.829956
01/02/2011,1327.219971
03/01/2011,1286.119995
01/12/2010,1257.640015
01/11/2010,1180.550049
01/10/2010,1183.26001
01/09/2010,1141.199951
02/08/2010,1049.329956
01/07/2010,1101.599976
01/06/2010,1030.709961
03/05/2010,1089.410034
01/04/2010,1186.689941
01/03/2010,1169.430054
01/02/2010,1104.48999
04/01/2010,1073.869995
01/12/2009,1115.099976
02/11/2009,1095.630005
01/10/2009,1036.189941
01/09/2009,1057.079956
03/08/2009,1020.619995
01/07/2009,987.47998
01/06/2009,919.320007
01/05/2009,919.140015
01/04/2009,872.809998
02/03/2009,797.869995
02/02/2009,735.090027
02/01/2009,825.880005
01/12/2008,903.25
03/11/2008,896.23999
01/10/2008,968.75
02/09/2008,1166.359985
01/08/2008,1282.829956
01/07/2008,1267.380005
02/06/2008,1280
01/05/2008,1400.380005
01/04/2008,1385.589966
03/03/2008,1322.699951
01/02/2008,1330.630005
02/01/2008,1378.550049
03/12/2007,1468.359985
01/11/2007,1481.140015
01/10/2007,1549.380005
04/09/2007,1526.75
01/08/2007,1473.98999
02/07/2007,1455.27002
01/06/2007,1503.349976
01/05/2007,1530.619995
02/04/2007,1482.369995
01/03/2007,1420.859985
01/02/2007,1406.819946
03/01/2007,1438.23999
01/12/2006,1418.300049
01/11/2006,1400.630005
02/10/2006,1377.939941
01/09/2006,1335.849976
01/08/2006,1303.819946
03/07/2006,1276.660034
01/06/2006,1270.199951
01/05/2006,1270.089966
03/04/2006,1310.609985
01/03/2006,1294.869995
01/02/2006,1280.660034
03/01/2006,1280.079956
01/12/2005,1248.290039
01/11/2005,1249.47998
05/10/2005,1207.01001
