Date,Close
01/10/2015,45.57
01/09/2015,44.259998
03/08/2015,43.52
01/07/2015,46.700001
01/06/2015,44.150002
01/05/2015,46.860001
01/04/2015,48.639999
02/03/2015,40.66
02/02/2015,43.849998
02/01/2015,40.400002
01/12/2014,46.450001
03/11/2014,47.810001
01/10/2014,46.950001
02/09/2014,46.360001
01/08/2014,45.43
01/07/2014,43.16
02/06/2014,41.700001
01/05/2014,40.939999
01/04/2014,40.400002
03/03/2014,40.990002
03/02/2014,38.310001
02/01/2014,37.84
02/12/2013,37.41
01/11/2013,38.130001
01/10/2013,35.41
03/09/2013,33.279999
01/08/2013,33.400002
01/07/2013,31.84
03/06/2013,34.540001
01/05/2013,34.900002
01/04/2013,33.099998
01/03/2013,28.610001
01/02/2013,27.799999
02/01/2013,27.450001
03/12/2012,26.709999
01/11/2012,26.620001
01/10/2012,28.540001
04/09/2012,29.76
01/08/2012,30.82
02/07/2012,29.469999
01/06/2012,30.59
01/05/2012,29.190001
02/04/2012,32.02
01/03/2012,32.259998
01/02/2012,31.74
03/01/2012,29.530001
01/12/2011,25.959999
01/11/2011,25.58
03/10/2011,26.629999
01/09/2011,24.889999
01/08/2011,26.6
01/07/2011,27.4
01/06/2011,26
02/05/2011,25.01
01/04/2011,25.92
01/03/2011,25.389999
01/02/2011,26.58
03/01/2011,27.73
01/12/2010,27.91
01/11/2010,25.26
01/10/2010,26.67
01/09/2010,24.49
02/08/2010,23.469999
01/07/2010,25.809999
01/06/2010,23.01
03/05/2010,25.799999
01/04/2010,30.540001
01/03/2010,29.290001
01/02/2010,28.67
04/01/2010,28.18
01/12/2009,30.48
02/11/2009,29.41
01/10/2009,27.73
01/09/2009,25.719999
03/08/2009,24.65
01/07/2009,23.52
01/06/2009,23.77
01/05/2009,20.889999
01/04/2009,20.26
02/03/2009,18.370001
02/02/2009,16.15
02/01/2009,17.1
01/12/2008,19.440001
03/11/2008,20.219999
01/10/2008,22.33
02/09/2008,26.690001
01/08/2008,27.290001
01/07/2008,25.719999
02/06/2008,27.51
01/05/2008,28.32
01/04/2008,28.52
03/03/2008,28.379999
01/02/2008,27.200001
02/01/2008,32.599998
03/12/2007,35.599998
01/11/2007,33.599998
01/10/2007,36.810001
04/09/2007,29.459999
01/08/2007,28.73
02/07/2007,28.99
01/06/2007,29.469999
01/05/2007,30.690001
02/04/2007,29.940001
01/03/2007,27.870001
01/02/2007,28.17
03/01/2007,30.860001
01/12/2006,29.860001
01/11/2006,29.360001
02/10/2006,28.709999
01/09/2006,27.35
01/08/2006,25.700001
03/07/2006,24.059999
01/06/2006,23.299999
01/05/2006,22.65
03/04/2006,24.15
01/03/2006,27.209999
01/02/2006,26.870001
03/01/2006,28.15
01/12/2005,26.15
01/11/2005,27.68
05/10/2005,25.700001
